timestamp,exchange,symbol,timeframe,setups,direction,close,volume,atr_pct,high_volatility,mtf_confirmed,score
2026-03-20T06:54:16.227430+00:00,BINGX,APEPE/USDT,4h,bearish_engulfing,bearish,1.28e-06,157931321264.0,1.5358943389632693,True,True,2
2026-03-20T06:54:25.237204+00:00,BYBIT,0G/USDT:USDT,4h,bearish_engulfing,bearish,0.5342,281740.2,2.2615769805965154,True,True,2
2026-03-20T06:54:25.794048+00:00,BYBIT,1000000BABYDOGE/USDT:USDT,1h,bearish_engulfing,bearish,0.0004189,24816000.0,1.321392253886582,True,True,2
2026-03-20T06:54:28.717409+00:00,BYBIT,10000QUBIC/USDT:USDT,4h,bullish_engulfing,bullish,0.009203,2439840.0,5.274977184990646,True,True,2
2026-03-20T06:54:29.850528+00:00,BYBIT,10000SATS/USDT:USDT,15m,bullish_engulfing,bullish,0.0001141,695300.0,0.38707743823982366,False,False,1
2026-03-20T06:54:31.299511+00:00,BYBIT,1000BONK/USDT:USDT,1h,bearish_engulfing,bearish,0.006006,85104700.0,1.174403373610785,True,True,2
2026-03-20T06:54:31.519578+00:00,BYBIT,1000BTT/USDT:USDT,1m,bearish_engulfing,bearish,0.0003347,268000.0,0.06123157084822494,False,False,1
2026-03-20T06:54:32.309111+00:00,BYBIT,1000BTT/USDT:USDT,1h,bearish_engulfing,bearish,0.0003347,28576500.0,0.6010166227989177,True,True,2
2026-03-20T06:54:32.976175+00:00,BYBIT,1000CAT/USDT:USDT,1h,bearish_engulfing,bearish,0.0016558,479445.0,0.9087937764608052,True,True,2
2026-03-20T06:54:33.636161+00:00,BYBIT,1000FLOKI/USDT:USDT,1h,bearish_engulfing,bearish,0.0302,2133284.0,1.072078380709959,True,True,2
2026-03-20T06:54:34.764165+00:00,BYBIT,1000LUNC/USDT:USDT,4h,bearish_engulfing,bearish,0.03963,839765.0,1.569647937695385,True,True,2
2026-03-20T06:54:35.312465+00:00,BYBIT,1000NEIROCTO/USDT:USDT,1h,bearish_engulfing,bearish,0.06564,489251.0,1.1764009638985118,True,True,2
2026-03-20T06:54:35.421228+00:00,BYBIT,1000NEIROCTO/USDT:USDT,4h,bullish_engulfing,bullish,0.06564,1511092.0,2.7471484741638177,True,True,2
2026-03-20T06:54:36.633346+00:00,BYBIT,1000RATS/USDT:USDT,1h,bullish_engulfing,bullish,0.04583,285840.0,1.6575082938997336,True,True,2
2026-03-20T06:54:41.362713+00:00,BYBIT,2Z/USDT,4h,bearish_engulfing,bearish,0.07742,132459.9,2.5076862699612135,True,True,2
2026-03-20T06:54:42.019776+00:00,BYBIT,2Z/USDT:USDT,4h,bearish_engulfing,bearish,0.07725,624999.0,2.5009804873146564,True,True,2
2026-03-20T06:54:52.663216+00:00,BYBIT,ACU/USDT:USDT,1h,rsi_oversold,mixed,0.08497,139611.0,1.3750701367032852,True,True,2
2026-03-20T06:54:52.776028+00:00,BYBIT,ACU/USDT:USDT,4h,rsi_oversold,mixed,0.08497,669527.0,3.15697256268592,True,True,2
2026-03-20T06:54:53.222469+00:00,BYBIT,ACX/USDT:USDT,15m,rsi_oversold,mixed,0.04199,118689.0,0.7159915679123736,True,True,2
2026-03-20T06:54:53.998153+00:00,BYBIT,ADA/USDT,1h,bearish_engulfing,bearish,0.2704,584503.05,0.8760732093776976,True,True,2
2026-03-20T06:54:54.667875+00:00,BYBIT,ADA/USDT:USDT,1h,bearish_engulfing,bearish,0.2703,4221404.0,0.9048021233574519,True,True,2
